Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2022-03-01
Data Final: 2022-06-20
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-03-01;1,8;965,308333;21,654167;34,5;27,229167;23,3;73,083333;45;7,8;2,916667;
2022-03-02;13,2;966,858333;21,608333;31;24,854167;22;83,375;56;14,5;2,233333;
2022-03-03;2,6;967,05;20,829167;31,1;24,275;20;82;56;12;2,445833;
2022-03-04;0;966,691667;20,729167;32,5;24,895833;20,9;78,916667;51;12,3;2,295833;
2022-03-05;5,6;965,708333;20,2125;33,6;26,425;21,2;70,625;43;13,8;2,725;
2022-03-06;0;965,0125;20,145833;35;28,283333;23;63,333333;33;11,1;3,120833;
2022-03-07;0;965,016667;19,266667;35,2;28,045833;22,5;61,375;34;9,4;2,929167;
2022-03-08;0;966,05;19,395833;37,3;28,2625;23,5;61,458333;29;12,1;3,179167;
2022-03-09;0;966,45;19,208333;36,1;28,195833;23;60,083333;33;10,1;3,091667;
2022-03-10;0;965,4;20,620833;34,5;25,208333;22,7;77,125;45;17,9;2,3375;
2022-03-11;19,8;966,091667;20,754167;25,9;22,495833;21;90,208333;73;7,8;,2;
2022-03-12;19,2;966,4125;20,054167;26;22,045833;19,7;88,958333;74;6,7;,533333;
2022-03-13;0;967,4625;20,266667;28,4;23,083333;20,6;85,125;58;7,6;1,404167;
2022-03-14;1,4;966,820833;17,570833;28,5;22,508333;18,2;75,75;45;8,9;2,520833;
2022-03-15;0;966,825;16,679167;30,7;22,4;16,7;72,041667;47;8,1;2,4;
2022-03-16;0;966,008333;18,554167;33,1;24,995833;18,3;69,458333;41;8,7;2,325;
2022-03-17;0;965,529167;20,270833;34,2;26,733333;21,2;70,041667;38;7;2,6125;
2022-03-18;0;967,0375;21,275;32;24,8875;23,6;81,125;58;17;2,783333;
2022-03-19;59,2;968,841667;21,175;28,5;24;20,3;84,75;68;9,2;2,758333;
2022-03-20;0;969,720833;20,095833;31,4;24,216667;18,4;79,333333;52;8,6;2,370833;
2022-03-21;0;970,258333;17,104167;31;24,241667;19,1;66,708333;39;12,9;3,654167;
2022-03-22;0;968,379167;16,583333;30,8;24,45;19,2;62,333333;46;14,6;6,025;
2022-03-23;7;965,725;19,454167;30,8;25,033333;20,4;72,041667;54;10,8;4,025;
2022-03-24;0;964,170833;19,683333;31,8;23,979167;22,2;77,625;56;21,9;4,25;
2022-03-25;75;966,516667;17,841667;22,1;19,454167;17,9;90,666667;74;9,9;2,204167;
2022-03-26;1,4;967,070833;13,9375;26,2;19,491667;13,4;72,666667;44;6,6;,654167;
2022-03-27;0;968,4;15,579167;28,8;20,691667;13,9;74,666667;44;5,1;1,141667;
2022-03-28;0;969,291667;16,775;31,4;23,2625;15,5;68,958333;44;6,3;1,8375;
2022-03-29;0;966,825;20,029167;32,4;25,4125;20,5;73,5;52;11,6;4,158333;
2022-03-30;0;964,795833;20,204167;31,3;24,058333;21,7;79,333333;58;17,2;3,2375;
2022-03-31;,6;969,629167;14,0875;23;18,145833;13,6;78,291667;54;9,9;4,245833;
2022-04-01;0;972,925;14,145833;22,1;18,366667;14,1;76,916667;61;6,1;1,825;
2022-04-02;0;972,479167;16,7125;26;20,433333;16,5;80,333333;60;8,6;2,629167;
2022-04-03;0;969,4125;18,65;30,2;23,8375;18,5;74,041667;54;11,3;3,745833;
2022-04-04;0;968,629167;19,825;25,5;21,941667;21,7;88,083333;76;11,1;2,779167;
2022-04-05;36,8;969,479167;19,366667;29,5;22,35;17,6;84,458333;60;4,8;,933333;
2022-04-06;0;968,708333;20,829167;30,4;24,3375;20,2;81,75;60;6,1;1,954167;
2022-04-07;0;967,158333;21,208333;30,3;24,129167;21,6;84,291667;64;14,7;2,770833;
2022-04-08;5,8;967,2625;20,066667;25;21,7875;20,1;90,166667;79;11;2,1375;
2022-04-09;1,8;967,966667;18,741667;29,9;22,183333;16,9;82,583333;52;4,5;,741667;
2022-04-10;0;965,7875;19,5375;30;24,1;19,9;76,541667;58;6,7;3,095833;
2022-04-11;13,6;964,1125;19,445833;24,9;21,941667;18;85,958333;76;22,9;3,8;
2022-04-12;94,2;963,191667;19,070833;22,5;20,2125;17,9;93,25;84;14,6;4,316667;
2022-04-13;13,2;965,875;19,2625;24,8;20,8875;18,7;90,541667;78;8,1;1,8375;
2022-04-14;,8;968,9125;17,429167;25,2;20,666667;17,3;83,125;54;11,1;3,391667;
2022-04-15;0;970,65;10,845833;24,7;16,995833;10;70,208333;36;6,3;2,458333;
2022-04-16;0;971,229167;10,633333;25,6;16,9;9,4;68,666667;38;7,8;2,6125;
2022-04-17;0;972,116667;12,620833;25,4;18,420833;14;71,208333;41;8,1;2,304167;
2022-04-18;0;971,570833;13,866667;26,6;19,2875;13,4;73,083333;43;5,9;2,029167;
2022-04-19;0;970,691667;14,425;27,3;19,783333;13,8;73,625;45;7;2,620833;
2022-04-20;0;969,895833;15,141667;28,3;20,808333;15,1;71,375;45;7,7;3,379167;
2022-04-21;0;967,8625;16,5875;28,5;21,266667;17,7;75,625;52;17,8;3,65;
2022-04-22;6,8;963,229167;17,233333;28,5;20,6625;16,5;82,166667;55;21,3;4,2;
2022-04-23;84,4;964,208333;17,275;25,1;19,345833;15,4;88,5;68;19,9;1,295833;
2022-04-24;0;968,541667;18,866667;28,7;22,9125;16,4;79,416667;55;8,9;1,3125;
2022-04-25;0;968,133333;19,641667;30,2;24,25;20,7;76,833333;51;12,4;3,345833;
2022-04-26;0;966,895833;19,6;31,3;25,191667;20,2;72,291667;50;9,3;3,645833;
2022-04-27;0;965,6625;19,470833;31,8;25,516667;20,7;70,833333;45;10,3;3,666667;
2022-04-28;0;968,445833;19,129167;31,7;24,754167;19,1;72,208333;52;6,4;2,0875;
2022-04-29;0;970,741667;20,395833;30,1;23,725;19,6;82,5;60;6,5;2,308333;
2022-04-30;0;970,016667;19,825;27,9;23,1625;20,1;82,208333;61;8,9;2,770833;
2022-05-01;10,6;967,954167;20,15;29,1;23,4875;20;82,541667;61;7,9;2,175;
2022-05-02;0;966,845833;19,583333;30;23,283333;20,3;80,916667;51;14,1;2,8125;
2022-05-03;45;967,1125;17,35;21,6;18,170833;19;94,958333;90;12,1;3,233333;
2022-05-04;11,6;969,220833;13,3625;17,7;14,154167;12,4;95,041667;85;10,5;3,975;
2022-05-05;3,4;972,083333;15,529167;24,4;18,275;12,8;85,458333;57;5,7;,3625;
2022-05-06;0;974,129167;14,454167;26,9;18,241667;12,3;80,916667;48;4,8;0;
2022-05-07;0;974,608333;13,804167;25,3;18,604167;13,4;76,041667;43;6,6;,158333;
2022-05-08;0;972,766667;12,291667;24,8;17,383333;11,9;74;43;7,3;,2;
2022-05-09;0;971,75;14,545833;26,3;18,466667;12;79,208333;56;7,9;,3625;
2022-05-10;8,4;970,145833;17,4;22,7;19,358333;16,8;88,708333;74;9,9;,9875;
2022-05-11;13;970,2875;14,404167;21,1;17,529167;15,3;83,291667;57;8,8;2,866667;
2022-05-12;0;970,425;12,375;24;15,9375;10;81,125;51;4,8;1,4125;
2022-05-13;0;969,970833;13,4;25;17,404167;11,4;79,333333;46;8,4;2,870833;
2022-05-14;0;969,654167;14,879167;18,4;16,641667;15,3;89,5;79;11,1;3,583333;
2022-05-15;30,4;969,216667;15,625;22,1;17,708333;16,1;88,083333;67;9;1,791667;
2022-05-16;,2;973,733333;9,5;17,9;14,045833;12,8;76;43;12,5;4,720833;
2022-05-17;0;975,4125;5,4875;15,9;10,55;7,5;72,791667;45;12,6;4,395833;
2022-05-18;0;974,233333;6,408333;16,2;10,945833;9;74,208333;52;12,7;5,2375;
2022-05-19;0;973,908333;7,8;15,3;11,195833;8,1;80,833333;57;6,4;2,541667;
2022-05-20;0;974,1625;5,9625;19,4;10,820833;3,8;75,041667;40;8;1,904167;
2022-05-21;0;975,370833;7,233333;21,2;13,158333;7,4;70,375;36;7,5;3,533333;
2022-05-22;0;974,108333;7,908333;23,3;15,05;9,1;65,083333;35;9,3;2,85;
2022-05-23;0;971,641667;10,533333;24,8;17,5375;12,1;65,041667;39;6,2;,058333;
2022-05-24;0;971,516667;11,270833;27,5;18,85;13,6;64,125;35;9,2;2,8;
2022-05-25;0;972,7375;13,016667;28,5;20,1125;14,3;66,208333;37;11,7;4,070833;
2022-05-26;0;973,370833;13,525;25,8;20,083333;15,2;67,375;43;9,8;3,179167;
2022-05-27;0;970,866667;13,970833;27,3;20,9125;16,1;65,958333;44;10,2;3,170833;
2022-05-28;3,8;968,033333;16,633333;24,4;19,6875;17,6;83,291667;59;10,9;3,833333;
2022-05-29;7,8;964,004167;17,433333;27,9;21,458333;18,3;78,458333;60;13,5;3,275;
2022-05-30;6,8;966,016667;16,941667;20,5;17,770833;16,8;95,041667;92;9,5;2,516667;
2022-05-31;5,6;969,558333;11,945833;16;12,925;10,4;94;87;8,3;2,045833;
2022-06-01;6,8;968,920833;12,708333;14,8;13,379167;10,7;95,708333;90;7,7;1,05;
2022-06-02;65,4;969,479167;12,1;13,4;12,566667;11,9;96,875;95;7,6;1,791667;
2022-06-03;11,6;973,2125;11,175;19,7;13,941667;11,5;84,75;60;5,8;1,120833;
2022-06-04;,2;972,316667;13,620833;21,5;16,433333;10,8;84,208333;69;10,2;1,970833;
2022-06-05;0;970,966667;14,816667;25,3;19,504167;15;75,166667;54;11,2;2,45;
2022-06-06;0;968,083333;16,691667;25,9;20,170833;16,9;80,958333;61;7,8;3,691667;
2022-06-07;9,8;966,741667;16,370833;23;18,791667;16,6;86,5;63;10,5;2,445833;
2022-06-08;,2;968,320833;14,379167;24,1;16,891667;11;86,541667;56;5,3;1,079167;
2022-06-09;8,8;969,204167;15,641667;18,3;16,420833;13,6;95,208333;89;6,8;1,45;
2022-06-10;19,2;972,941667;14,133333;18,6;15,508333;14,7;91,916667;69;9,8;2,495833;
2022-06-11;,2;976,466667;6,920833;15,6;10,158333;5,8;82;53;8,2;2,429167;
2022-06-12;0;976,779167;1,3625;17,7;9,066667;3,1;63,416667;25;7,3;2,816667;
2022-06-13;0;975,65;3,4375;20,4;10,433333;2,4;66,208333;29;4,9;,4;
2022-06-14;0;972,9875;6,758333;21,8;13,075;5,8;68,708333;37;12;2,508333;
2022-06-15;0;971,620833;10,158333;24,4;16,175;10,3;69,708333;43;9,8;3,745833;
2022-06-16;0;969,725;13,683333;27,1;19,466667;13,7;70,791667;50;9,1;4,329167;
2022-06-17;0;965,141667;16,583333;22,5;20,095833;17,1;80,458333;68;15,2;3,979167;
2022-06-18;4,2;973,425;7,475;17,6;12,395833;7,7;75,583333;35;11,5;3,175;
2022-06-19;0;972,775;7,566667;20,4;11,833333;3,5;76,625;52;11;3,629167;
2022-06-20;3,4;971,425;14,420833;22,9;17,391667;9,3;83,333333;65;10,3;3,7;

